Date,GP,HP,NB,LR,Other,Spec_1,Spec_2,Spec_3,Repl,Kit,Total
4/29/2012,0,0,0,0,0,0,0,0,0,0,0
4/30/2012,0,0,0,0,0,0,0,0,0,0,0
5/1/2012,0,0,0,0,0,0,0,0,0,0,0
5/2/2012,0,0,0,0,0,0,0,0,0,0,0
5/3/2012,0,0,0,0,0,0,0,0,0,0,0
5/4/2012,0,0,0,0,0,0,0,0,0,0,0
5/5/2012,0,0,0,0,0,0,0,0,0,0,0
5/6/2012,0,0,0,0,0,0,0,0,0,0,0
5/7/2012,0,0,0,0,0,0,0,0,0,0,0
5/8/2012,0,0,0,0,0,0,0,0,0,0,0
5/9/2012,0,0,0,0,0,0,0,0,0,0,0
5/10/2012,0,0,0,0,0,0,0,0,0,0,0
5/11/2012,0,0,0,0,0,0,0,0,0,0,0
5/12/2012,0,0,0,0,0,0,0,0,0,0,0
5/13/2012,0,0,0,0,0,0,0,0,0,0,0
5/14/2012,0,0,0,0,0,0,0,0,0,0,0
5/15/2012,0,0,0,0,0,0,0,0,0,0,0
5/16/2012,0,0,0,0,0,0,0,0,0,0,0
5/17/2012,0,0,0,0,0,0,0,0,0,0,0
5/18/2012,0,0,0,0,0,0,0,0,0,0,0
5/19/2012,0,0,0,0,0,0,0,0,0,0,0
5/20/2012,0,0,0,0,0,0,0,0,0,0,0
5/21/2012,0,0,0,0,0,0,0,0,0,0,0
5/22/2012,0,0,0,0,0,0,0,0,0,0,0
5/23/2012,0,0,0,0,0,0,0,0,0,0,0
5/24/2012,0,0,0,0,0,0,0,0,0,0,0
5/25/2012,0,0,0,0,0,0,0,0,0,0,0
5/26/2012,0,0,0,0,0,0,0,0,0,0,0
5/27/2012,0,0,0,0,0,0,0,0,0,0,0
5/28/2012,0,0,0,0,0,0,0,0,0,0,0
5/29/2012,0,0,0,0,0,0,0,0,0,0,0
5/30/2012,0,0,0,0,0,0,0,0,0,0,0
5/31/2012,0,0,0,0,0,0,0,0,0,0,0
6/1/2012,0,0,0,0,0,0,0,0,0,0,0
6/2/2012,0,0,0,0,0,0,0,0,0,0,0
6/3/2012,0,0,0,0,0,0,0,0,0,0,0
6/4/2012,0,0,0,0,0,0,0,0,0,0,0
6/5/2012,0,0,0,0,0,0,0,0,0,0,0
6/6/2012,0,0,0,0,0,0,0,0,0,0,0
6/7/2012,0,0,0,0,0,0,0,0,0,0,0
6/8/2012,0,0,0,0,0,0,0,0,0,0,0
6/9/2012,0,0,0,0,0,0,0,0,0,0,0
6/10/2012,0,0,0,0,0,0,0,0,0,0,0
6/11/2012,0,0,0,0,0,0,0,0,0,0,0
6/12/2012,0,0,0,0,0,0,0,0,0,0,0
6/13/2012,0,0,0,0,0,0,0,0,0,0,0
6/14/2012,0,0,0,0,0,0,0,0,0,0,0
6/15/2012,0,0,0,0,0,0,0,0,0,0,0
6/16/2012,0,0,0,0,0,0,0,0,0,0,0
6/17/2012,0,0,0,0,0,0,0,0,0,0,0
6/18/2012,0,0,0,0,0,0,0,0,0,0,0
6/19/2012,0,0,0,0,0,0,0,0,0,0,0
6/20/2012,0,0,0,0,0,0,0,0,0,0,0
6/21/2012,0,0,0,0,0,0,0,0,0,0,0
6/22/2012,0,0,0,0,0,0,0,0,0,0,0
6/23/2012,0,0,0,0,0,0,0,0,0,0,0
6/24/2012,0,0,0,0,0,0,0,0,0,0,0
6/25/2012,0,0,0,0,0,0,0,0,0,0,0
6/26/2012,0,0,0,0,0,0,0,0,0,0,0
6/27/2012,0,0,0,0,0,0,0,0,0,0,0
6/28/2012,0,0,0,0,0,0,0,0,0,0,0
6/29/2012,0,0,0,0,0,0,0,0,0,0,0
6/30/2012,0,0,0,0,0,0,0,0,0,0,0
7/1/2012,0,0,0,0,0,0,0,0,0,0,0
7/2/2012,0,0,0,0,0,0,0,0,0,0,0
7/3/2012,0,0,0,0,0,0,0,0,0,0,0
7/4/2012,0,0,0,0,0,0,0,0,0,0,0
7/5/2012,0,0,0,0,0,0,0,0,0,0,0
7/6/2012,0,0,0,0,0,0,0,0,0,0,0
7/7/2012,0,0,0,0,0,0,0,0,0,0,0
7/8/2012,0,0,0,0,0,0,0,0,0,0,0
7/9/2012,0,0,0,0,0,0,0,0,0,0,0
7/10/2012,0,0,0,0,0,0,0,0,0,0,0
7/11/2012,0,0,0,0,0,0,0,0,0,0,0
7/12/2012,0,0,0,0,0,0,0,0,0,0,0
7/13/2012,0,0,0,0,0,0,0,0,0,0,0
7/14/2012,0,0,0,0,0,0,0,0,0,0,0
7/15/2012,0,0,0,0,0,0,0,0,0,0,0
7/16/2012,0,0,0,0,0,0,0,0,0,0,0
7/17/2012,0,0,0,0,0,0,0,0,0,0,0
7/18/2012,0,0,0,0,0,0,0,0,0,0,0
7/19/2012,0,0,0,0,0,0,0,0,0,0,0
7/20/2012,0,0,0,0,0,0,0,0,0,0,0
7/21/2012,0,0,0,0,0,0,0,0,0,0,0
7/22/2012,0,0,0,0,0,0,0,0,0,0,0
7/23/2012,0,0,0,0,0,0,0,0,0,0,0
7/24/2012,0,0,0,0,0,0,0,0,0,0,0
7/25/2012,0,0,0,0,0,0,0,0,0,0,0
7/26/2012,0,0,0,0,0,0,0,0,0,0,0
7/27/2012,0,0,0,0,0,0,0,0,0,0,0
7/28/2012,0,0,0,0,0,0,0,0,0,0,0
7/29/2012,0,0,0,0,0,0,0,0,0,0,0
7/30/2012,0,0,0,0,0,0,0,0,0,0,0
7/31/2012,0,0,0,0,0,0,0,0,0,0,0
8/1/2012,0,0,0,0,0,0,0,0,0,0,0
8/2/2012,0,0,0,0,0,0,0,0,0,0,0
8/3/2012,0,0,0,0,0,0,0,0,0,0,0
8/4/2012,0,0,0,0,0,0,0,0,0,0,0
8/5/2012,0,0,0,0,0,0,0,0,0,0,0
8/6/2012,0,0,0,0,0,0,0,0,0,0,0
8/7/2012,0,0,0,0,0,0,0,0,0,0,0
8/8/2012,0,0,0,0,0,0,0,0,0,0,0
8/9/2012,0,0,0,0,0,0,0,0,0,0,0
8/10/2012,0,0,0,0,0,0,0,0,0,0,0
8/11/2012,0,0,0,0,0,0,0,0,0,0,0
8/12/2012,0,0,0,0,0,0,0,0,0,0,0
8/13/2012,0,0,0,0,0,0,0,0,0,0,0
8/14/2012,0,0,0,0,0,0,0,0,0,0,0
8/15/2012,0,0,0,0,0,0,0,0,0,0,0
8/16/2012,0,0,0,0,0,0,0,0,0,0,0
8/17/2012,0,0,0,0,0,0,0,0,0,0,0
8/18/2012,0,0,0,0,0,0,0,0,0,0,0
8/19/2012,0,0,0,0,0,0,0,0,0,0,0
8/20/2012,0,0,0,0,0,0,0,0,0,0,0
8/21/2012,0,0,0,0,0,0,0,0,0,0,0
8/22/2012,0,0,0,0,0,0,0,0,0,0,0
8/23/2012,0,0,0,0,0,0,0,0,0,0,0
8/24/2012,0,0,0,0,0,0,0,0,0,0,0
8/25/2012,0,0,0,0,0,0,0,0,0,0,0
8/26/2012,0,0,0,0,0,0,0,0,0,0,0
8/27/2012,0,0,0,0,0,0,0,0,0,0,0
8/28/2012,0,0,0,0,0,0,0,0,0,0,0
8/29/2012,0,0,0,0,0,0,0,0,0,0,0
8/30/2012,0,0,0,0,0,0,0,0,0,0,0
8/31/2012,0,0,0,0,0,0,0,0,0,0,0
9/1/2012,0,0,0,0,0,0,0,0,0,0,0
9/2/2012,0,0,0,0,0,0,0,0,0,0,0
9/3/2012,0,0,0,0,0,0,0,0,0,0,0
9/4/2012,0,0,0,0,0,0,0,0,0,0,0
9/5/2012,0,0,0,0,0,0,0,0,0,0,0
9/6/2012,0,0,0,0,0,0,0,0,0,0,0
9/7/2012,0,0,0,0,0,0,0,0,0,0,0
9/8/2012,0,0,0,0,0,0,0,0,0,0,0
9/9/2012,0,0,0,0,0,0,0,0,0,0,0
9/10/2012,0,0,0,0,0,0,0,0,0,0,0
9/11/2012,0,0,0,0,0,0,0,0,0,0,0
9/12/2012,0,0,0,0,0,0,0,0,0,0,0
9/13/2012,0,0,0,0,0,0,0,0,0,0,0
9/14/2012,0,0,0,0,0,0,0,0,0,0,0
9/15/2012,0,0,0,0,0,0,0,0,0,0,0
9/16/2012,0,0,0,0,0,0,0,0,0,0,0
9/17/2012,0,0,0,0,0,0,0,0,0,0,0
9/18/2012,0,0,0,0,0,0,0,0,0,0,0
9/19/2012,0,0,0,0,0,0,0,0,0,0,0
9/20/2012,0,0,0,0,0,0,0,0,0,0,0
9/21/2012,0,0,0,0,0,0,0,0,0,0,0
9/22/2012,0,0,0,0,0,0,0,0,0,0,0
9/23/2012,0,0,0,0,0,0,0,0,0,0,0
9/24/2012,0,0,0,0,0,0,0,0,0,0,0
9/25/2012,0,0,0,0,0,0,0,0,0,0,0
9/26/2012,0,0,0,0,0,0,0,0,0,0,0
9/27/2012,0,0,0,0,0,0,0,0,0,0,0
9/28/2012,0,0,0,0,0,0,0,0,0,0,0
9/29/2012,0,0,0,0,0,0,0,0,0,0,0
9/30/2012,0,0,0,0,0,0,0,0,0,0,0
10/1/2012,0,0,0,0,0,0,0,0,0,0,0
10/2/2012,0,0,0,0,0,0,0,0,0,0,0
10/3/2012,0,0,0,0,0,0,0,0,0,0,0
10/4/2012,0,0,0,0,0,0,0,0,0,0,0
10/5/2012,0,0,0,0,0,0,0,0,0,0,0
10/6/2012,0,0,0,0,0,0,0,0,0,0,0
10/7/2012,0,0,0,0,0,0,0,0,0,0,0
10/8/2012,0,0,0,0,0,0,0,0,0,0,0
10/9/2012,0,0,0,0,0,0,0,0,0,0,0
10/10/2012,0,0,0,0,0,0,0,0,0,0,0
10/11/2012,0,0,0,0,0,0,0,0,0,0,0
10/12/2012,0,0,0,0,0,0,0,0,0,0,0
10/13/2012,0,0,0,0,0,0,0,0,0,0,0
10/14/2012,0,0,0,0,0,0,0,0,0,0,0
10/15/2012,0,0,0,0,0,0,0,0,0,0,0
10/16/2012,0,0,0,0,0,0,0,0,0,0,0
10/17/2012,0,0,0,0,0,0,0,0,0,0,0
10/18/2012,0,0,0,0,0,0,0,0,0,0,0
10/19/2012,0,0,0,0,0,0,0,0,0,0,0
10/20/2012,0,0,0,0,0,0,0,0,0,0,0
10/21/2012,0,0,0,0,0,0,0,0,0,0,0
10/22/2012,0,0,0,0,0,0,0,0,0,0,0
10/23/2012,0,0,0,0,0,0,0,0,0,0,0
10/24/2012,0,0,0,0,0,0,0,0,0,0,0
10/25/2012,0,0,0,0,0,0,0,0,0,0,0
10/26/2012,0,0,0,0,0,0,0,0,0,0,0
10/27/2012,0,0,0,0,0,0,0,0,0,0,0
10/28/2012,0,0,0,0,0,0,0,0,0,0,0
10/29/2012,0,0,0,0,0,0,0,0,0,0,0
10/30/2012,0,0,0,0,0,0,0,0,0,0,0
10/31/2012,0,0,0,0,0,0,0,0,0,0,0
11/1/2012,0,0,0,0,0,0,0,0,0,0,0
11/2/2012,0,0,0,0,0,0,0,0,0,0,0
11/3/2012,0,0,0,0,0,0,0,0,0,0,0
11/4/2012,0,0,0,0,0,0,0,0,0,0,0
11/5/2012,0,0,0,0,0,0,0,0,0,0,0
11/6/2012,0,0,0,0,0,0,0,0,0,0,0
11/7/2012,0,0,0,0,0,0,0,0,0,0,0
11/8/2012,0,0,0,0,0,0,0,0,0,0,0
11/9/2012,0,0,0,0,0,0,0,0,0,0,0
11/10/2012,0,0,0,0,0,0,0,0,0,0,0
11/11/2012,0,0,0,0,0,0,0,0,0,0,0
11/12/2012,0,0,0,0,0,0,0,0,0,0,0
11/13/2012,0,0,0,0,0,0,0,0,0,0,0
11/14/2012,0,0,0,0,0,0,0,0,0,0,0
11/15/2012,0,0,0,0,0,0,0,0,0,0,0
11/16/2012,0,0,0,0,0,0,0,0,0,0,0
11/17/2012,0,0,0,0,0,0,0,0,0,0,0
11/18/2012,0,0,0,0,0,0,0,0,0,0,0
11/19/2012,0,0,0,0,0,0,0,0,0,0,0
11/20/2012,0,0,0,0,0,0,0,0,0,0,0
11/21/2012,0,0,0,0,0,0,0,0,0,0,0
11/22/2012,0,100,0,100,0,0,0,0,0,0,200
11/23/2012,0,100,0,100,0,0,0,0,0,0,200
11/24/2012,0,100,0,100,0,0,0,0,0,0,200
11/25/2012,0,100,0,100,0,0,0,0,0,0,200
11/26/2012,0,100,0,100,0,0,0,0,0,0,200
11/27/2012,0,100,0,100,0,0,0,0,0,0,200
11/28/2012,0,100,0,100,0,0,0,0,0,0,200
11/29/2012,0,100,0,100,0,0,0,0,0,0,200
11/30/2012,0,100,0,100,0,0,0,0,0,0,200
12/1/2012,0,100,0,100,0,0,0,0,0,0,200
12/2/2012,0,100,0,100,0,0,0,0,0,0,200
12/3/2012,0,100,0,100,0,0,0,0,0,0,200
12/4/2012,0,100,0,100,0,0,0,0,0,0,200
12/5/2012,0,100,0,100,0,0,0,0,0,0,200
12/6/2012,0,100,0,100,0,0,0,0,0,0,200
12/7/2012,0,100,0,100,0,0,0,0,0,0,200
12/8/2012,0,100,0,100,0,0,0,0,0,0,200
12/9/2012,0,100,0,100,0,0,0,0,0,0,200
12/10/2012,0,100,0,100,0,0,0,0,0,0,200
12/11/2012,0,100,0,100,0,0,0,0,0,0,200
12/12/2012,0,100,0,100,0,0,0,0,0,0,200
12/13/2012,0,100,0,100,0,0,0,0,0,0,200
12/14/2012,0,100,0,100,0,0,0,0,0,0,200
12/15/2012,0,100,0,100,0,0,0,0,0,0,200
12/16/2012,0,100,0,100,0,0,0,0,0,0,200
12/17/2012,0,100,0,100,0,0,0,0,0,0,200
12/18/2012,0,100,0,100,0,0,0,0,0,0,200
12/19/2012,0,100,0,100,0,0,0,0,0,0,200
12/20/2012,0,100,0,100,0,0,0,0,0,0,200
12/21/2012,0,100,0,100,0,0,0,0,0,0,200
12/22/2012,0,100,0,100,0,0,0,0,0,0,200
12/23/2012,0,100,0,100,0,0,0,0,0,0,200
12/24/2012,0,100,0,100,0,0,0,0,0,0,200
12/25/2012,0,100,0,100,0,0,0,0,0,0,200
12/26/2012,0,100,0,100,0,0,0,0,0,0,200
12/27/2012,0,100,0,100,0,0,0,0,0,0,200
12/28/2012,0,100,0,100,0,0,0,0,0,0,200
12/29/2012,0,100,0,100,0,0,0,0,0,0,200
12/30/2012,0,5.502414637,0,2.30724339,0,0,0,0,0,0,7.809658027
12/31/2012,0,5.502414637,0,2.30724339,0,0,0,0,0,0,7.809658027
1/1/2013,0,5.502414637,0,2.30724339,0,0,0,0,0,0,7.809658027
1/2/2013,0,5.502414637,0,2.30724339,0,0,0,0,0,0,7.809658027
1/3/2013,0,5.502414637,0,2.30724339,0,0,0,0,0,0,7.809658027
1/4/2013,0,5.502414637,0,2.30724339,0,0,0,0,0,0,7.809658027
1/5/2013,0,5.502414637,0,2.30724339,0,0,0,0,0,0,7.809658027
1/6/2013,0,5.502414637,0,2.30724339,0,0,0,0,0,0,7.809658027
1/7/2013,0,5.502414637,0,2.30724339,0,0,0,0,0,0,7.809658027
1/8/2013,0,5.502414637,0,2.30724339,0,0,0,0,0,0,7.809658027
1/9/2013,0,5.502414637,0,2.30724339,0,0,0,0,0,0,7.809658027
1/10/2013,0,5.502414637,0,2.30724339,0,0,0,0,0,0,7.809658027
1/11/2013,0,5.502414637,0,2.30724339,0,0,0,0,0,0,7.809658027
1/12/2013,0,5.502414637,0,2.30724339,0,0,0,0,0,0,7.809658027
1/13/2013,0,5.502414637,0,2.30724339,0,0,0,0,0,0,7.809658027
1/14/2013,0,5.502414637,0,2.30724339,0,0,0,0,0,0,7.809658027
1/15/2013,0,5.502414637,0,2.30724339,0,0,0,0,0,0,7.809658027
1/16/2013,0,5.502414637,0,2.30724339,0,0,0,0,0,0,7.809658027
1/17/2013,0,5.502414637,0,2.30724339,0,0,0,0,0,0,7.809658027
1/18/2013,0,5.502414637,0,2.30724339,0,0,0,0,0,0,7.809658027
1/19/2013,0,5.502414637,0,2.30724339,0,0,0,0,0,0,7.809658027
1/20/2013,0,5.502414637,0,2.30724339,0,0,0,0,0,0,7.809658027
1/21/2013,0,5.502414637,0,2.30724339,0,0,0,0,0,0,7.809658027
1/22/2013,0,5.502414637,0,2.30724339,0,0,0,0,0,0,7.809658027
1/23/2013,0,5.502414637,0,2.30724339,0,0,0,0,0,0,7.809658027
1/24/2013,0,5.502414637,0,2.30724339,0,0,0,0,0,0,7.809658027
1/25/2013,0,5.502414637,0,2.30724339,0,0,0,0,0,0,7.809658027
1/26/2013,0,5.502414637,0,2.30724339,0,0,0,0,0,0,7.809658027
1/27/2013,0,5.502414637,0,2.30724339,0,0,0,0,0,0,7.809658027
1/28/2013,0,5.502414637,0,2.30724339,0,0,0,0,0,0,7.809658027
1/29/2013,0,5.502414637,0,2.30724339,0,0,0,0,0,0,7.809658027
1/30/2013,0,5.502414637,0,2.30724339,0,0,0,0,0,0,7.809658027
1/31/2013,0,5.502414637,0,2.30724339,0,0,0,0,0,0,7.809658027
2/1/2013,0,5.502414637,0,2.30724339,0,0,0,0,0,0,7.809658027
2/2/2013,0,5.502414637,0,2.30724339,0,0,0,0,0,0,7.809658027
2/3/2013,0,5.502414637,0,2.30724339,0,0,0,0,0,0,7.809658027
2/4/2013,0,5.502414637,0,2.30724339,0,0,0,0,0,0,7.809658027
2/5/2013,0,5.502414637,0,2.30724339,0,0,0,0,0,0,7.809658027
2/6/2013,0,5.502414637,0,2.30724339,0,0,0,0,0,0,7.809658027
2/7/2013,0,5.502414637,0,2.30724339,0,0,0,0,0,0,7.809658027
2/8/2013,0,5.502414637,0,2.30724339,0,0,0,0,0,0,7.809658027
2/9/2013,0,5.502414637,0,2.30724339,0,0,0,0,0,0,7.809658027
2/10/2013,0,5.502414637,0,2.30724339,0,0,0,0,0,0,7.809658027
2/11/2013,0,5.502414637,0,2.30724339,0,0,0,0,0,0,7.809658027
2/12/2013,0,5.502414637,0,2.30724339,0,0,0,0,0,0,7.809658027
2/13/2013,0,5.502414637,0,2.30724339,0,0,0,0,0,0,7.809658027
2/14/2013,0,5.502414637,0,2.30724339,0,0,0,0,0,0,7.809658027
2/15/2013,0,5.502414637,0,2.30724339,0,0,0,0,0,0,7.809658027
2/16/2013,0,5.502414637,0,2.30724339,0,0,0,0,0,0,7.809658027
2/17/2013,0,5.502414637,0,2.30724339,0,0,0,0,0,0,7.809658027
2/18/2013,0,5.502414637,0,2.30724339,0,0,0,0,0,0,7.809658027
2/19/2013,0,5.502414637,0,2.30724339,0,0,0,0,0,0,7.809658027
2/20/2013,0,5.502414637,0,2.30724339,0,0,0,0,0,0,7.809658027
2/21/2013,0,5.502414637,0,12.79592105,0,0,0,0,0,0,18.29833569
2/22/2013,0,5.502414637,0,12.79592105,0,0,0,0,0,0,18.29833569
2/23/2013,0,5.502414637,0,12.79592105,0,0,0,0,0,0,18.29833569
2/24/2013,0,5.502414637,0,12.79592105,0,0,0,0,0,0,18.29833569
2/25/2013,0,25.30123405,0,43.6463478,0,0,0,0,0,0,68.94758185
2/26/2013,0,25.30123405,0,43.6463478,0,0,0,0,0,0,68.94758185
2/27/2013,0,25.30123405,0,43.6463478,0,0,0,0,0,0,68.94758185
2/28/2013,0,25.30123405,0,44.89885235,0,0,0,0,0,0,70.2000864
3/1/2013,0,25.30123405,0,44.89885235,0,0,0,0,0,0,70.2000864
3/2/2013,0,25.30123405,0,44.89885235,0,0,0,0,0,0,70.2000864
3/3/2013,0,25.30123405,0,44.89885235,0,0,0,0,0,0,70.2000864
3/4/2013,0,25.30123405,0,44.89885235,0,0,0,0,0,0,70.2000864
3/5/2013,0,25.30123405,0,44.89885235,0,0,0,0,0,0,70.2000864
3/6/2013,0,25.30123405,0,44.89885235,0,0,0,0,0,0,70.2000864
3/7/2013,0,25.30123405,0,44.89885235,0,0,0,0,0,0,70.2000864
3/8/2013,0,25.30123405,0,44.89885235,0,0,0,0,0,0,70.2000864
3/9/2013,0,25.30123405,0,44.89885235,0,0,0,0,0,0,70.2000864
3/10/2013,0,25.30123405,0,44.89885235,0,0,0,0,0,0,70.2000864
3/11/2013,0,25.30123405,0,44.89885235,0,0,0,0,0,0,70.2000864
3/12/2013,0,25.30123405,0,44.89885235,0,0,0,0,0,0,70.2000864
3/13/2013,0,25.30123405,0,44.89885235,0,0,0,0,0,0,70.2000864
3/14/2013,0,25.30123405,0,47.4199918,0,0,0,0,0,0,72.72122585
3/15/2013,0,25.30123405,0,47.4199918,0,0,0,0,0,0,72.72122585
3/16/2013,0,25.30123405,0,47.4199918,0,0,0,0,0,0,72.72122585
3/17/2013,0,25.30123405,0,47.4199918,0,0,0,0,0,0,72.72122585
3/18/2013,0,25.30123405,0,47.4199918,0,0,0,0,0,0,72.72122585
3/19/2013,0,25.30123405,0,47.4199918,0,0,0,0,0,0,72.72122585
3/20/2013,0,25.30123405,0,47.4199918,0,0,0,0,0,0,72.72122585
3/21/2013,0,25.30123405,0,47.4199918,0,0,0,0,0,0,72.72122585
3/22/2013,0,25.30123405,0,47.4199918,0,0,0,0,0,0,72.72122585
3/23/2013,0,25.30123405,0,47.4199918,0,0,0,0,0,0,72.72122585
3/24/2013,0,25.30123405,0,47.4199918,0,0,0,0,0,0,72.72122585
3/25/2013,0,25.30123405,0,47.4199918,0,0,0,0,0,0,72.72122585
